label	lmfdb_label	conductor	ainvs	disc_sign	r_lower	r_upper	rank_certified	sha2_rank_s	r_an	L_r_over_rfact	Omega_E	w1	regulator	sat_bound	torsion	tamagawa_prod	tamagawa_list	rootno	sha_an	sha_an_via_ellbsd	ellbsd_check_reldiff	lfun_taylor_check	time_ms
707a1		707	[0, 1, 1, -12, 12]	1	2	2	yes	0	2	0.973851346027092472090496938881211419882709636820424873095697	4.31451929618892448835162445266886781385294850416105724515365	2.15725964809446224417581222633443390692647425208052862257683	0.112857456320488478087278063827153889463874016244353083503101	1000	1	2	[2, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	0.E-77	90
709a1		709	[0, -1, 1, -2, 0]	1	2	2	yes	0	2	1.05370165380949337217153331053325671870181023812499217052334	4.07332894004356329659008973174134798858628088070536879821246	2.03666447002178164829504486587067399429314044035268439910623	0.258683172736406669969244323486181605005230011787390172859910	1000	1	1	[1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.7272337110188889251 E-77	71
718b1		718	[1, 0, 1, -5, 0]	1	2	2	yes	0	2	1.25178115276889301332904309624645151808084529063358983268290	3.68477935580378503275639279550939975022233778985902443737641	1.84238967790189251637819639775469987511116889492951221868821	0.169858359469645069055774099098995523894343766553729565234421	1000	1	2	[2, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	3.454467422037777850 E-77	88
794a1		794	[1, 0, 1, -3, 2]	-1	2	2	yes	0	2	1.29454191213101219263368168970142692679980295132786017276994	4.34264337335914562115166661709896217809614765090949679456860	4.34264337335914562115166661709896217809614765090949679456860	0.149049991080622738644474967893637870237969769009517053853634	1000	1	2	[2, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	8.636168555094444625 E-77	83
817a1		817	[0, 1, 1, 1, 6]	-1	2	2	yes	0	2	1.56647038942276925857423985441939934657101248056999928240305	3.05645146400211547716810007934826012861825372189004473191386	3.05645146400211547716810007934826012861825372189004473191386	0.256256382257684208644536116867987065630725227139573629669926	1000	1	2	[2, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	0.E-76	136
916c1		916	[0, 0, 0, -4, 1]	1	2	2	yes	0	2	1.59754815056093975665315425968309783165497627537003475817770	3.90212557565417067802164526766165810587759808319077468012922	1.95106278782708533901082263383082905293879904159538734006461	0.136468199155201822154232814330740898427586862674472555173325	1000	1	3	[3, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	3.454467422037777850 E-77	74
944e1		944	[0, 0, 0, -19, 34]	-1	2	2	yes	0	2	1.62161758288515907623633300750529299069619684789225099471579	3.43969163119247254432552120626836484360187272156111570884276	3.43969163119247254432552120626836484360187272156111570884276	0.117860680313585012773254230091271282413682214579722412438469	1000	1	4	[4, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.7272337110188889251 E-77	78
997b1		997	[0, -1, 1, -5, -3]	1	2	2	yes	0	2	1.80057372832519933047804649614652419971290322176048248144910	3.15326269480353153276742036782721567139803938478683133756732	1.57663134740176576638371018391360783569901969239341566878366	0.571019259287366988341108843169484267450998138539991220078617	1000	1	1	[1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	3.454467422037777850 E-77	82
1001c1		1001	[0, 0, 1, -199, 1092]	-1	2	2	yes	0	2	0.986026449549640085022078021717027961467768334029977464490987	2.28178753509286666908474489840365962336164758743995664980887	2.28178753509286666908474489840365962336164758743995664980887	0.0360107457561596077387960425579930064264827619991484259154260	1000	1	12	[2, 3, 2]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	0.E-77	98
1058d1		1058	[1, -1, 0, -332311, -73733731]	-1	0	0	yes	0	0	2.48536002785203573884324684133078313911360376648684264330515	0.0994144011140814295537298736532313255645441506594737057322062	0.0994144011140814295537298736532313255645441506594737057322062	1	1000	1	1	[1, 1]	1	25.0000000000000000000000000000000000000000000000000000000000	25.0000000000000000000000000000000000000000000000000000000000	0.E-76	0.E-76	9
