Clabel,conductor,ainvs,rank,torsion
75159h1,75159,"[1,-1,1,-149,474]",3,1
75692a1,75692,"[0,0,0,8,25]",3,1
75729a1,75729,"[0,-1,1,-270,1802]",3,1
75765c1,75765,"[0,-1,1,-66,236]",3,1
75772a1,75772,"[0,0,0,-14872,698020]",3,1
75781a1,75781,"[0,0,1,-13,12]",3,1
76074b1,76074,"[1,0,1,-163,602]",3,1
76119a1,76119,"[0,-1,1,-50,152]",3,1
76136c1,76136,"[0,-1,0,-44,100]",3,1
76338h1,76338,"[1,-1,0,-51,233]",3,1
76358e1,76358,"[1,-1,1,-159,519]",3,1
76599a1,76599,"[1,-1,1,-104,434]",3,1
76626e1,76626,"[1,-1,0,-429,3509]",3,1
76644c1,76644,"[0,0,0,-192,1105]",3,1
76784h1,76784,"[0,-1,0,64,64]",3,1
76784i1,76784,"[0,0,0,-1579,24154]",3,1
76962e1,76962,"[1,0,1,-628,6062]",3,1
77063a1,77063,"[0,0,1,-104,-175]",3,1
77336d1,77336,"[0,1,0,-140,784]",3,1
77346a1,77346,"[1,-1,0,-276,1836]",3,1
77346d1,77346,"[1,-1,0,99,1093]",3,1
77496f1,77496,"[0,1,0,-660,6624]",3,1
77555d1,77555,"[1,1,1,-100,342]",3,1
77709a1,77709,"[1,1,1,-20,-34]",3,1
77725c1,77725,"[1,0,0,-838,9417]",3,1
77790a1,77790,"[1,1,0,-18,72]",3,1
78185b1,78185,"[1,0,0,-1,30]",3,1
78242a1,78242,"[1,-1,0,-3016,64516]",3,1
78287b1,78287,"[1,1,1,-74,210]",3,1
78344a1,78344,"[0,1,0,-12,49]",3,1
78361a1,78361,"[1,-1,1,-27,90]",3,1
78830a1,78830,"[1,0,1,-274,1716]",3,1
78923b1,78923,"[0,0,1,-676,7140]",3,1
79077f1,79077,"[0,1,1,-214,436]",3,1
79110c1,79110,"[1,-1,0,-135,625]",3,1
79198d1,79198,"[1,0,1,-60,110]",3,1
79317b1,79317,"[0,0,1,-129,1120]",3,1
79555a1,79555,"[1,0,0,-361,2610]",3,1
79675b1,79675,"[1,0,0,12,67]",3,1
79934b1,79934,"[1,1,0,-59,169]",3,1
80212b1,80212,"[0,-1,0,-30,121]",3,1
80222a1,80222,"[1,-1,0,-16,-12]",3,1
80256a1,80256,"[0,-1,0,-835,9571]",3,2
80256a2,80256,"[0,-1,0,-825,9801]",3,2
80351d1,80351,"[1,-1,1,51,204]",3,1
80559b1,80559,"[1,-1,1,-86,240]",3,1
80615d1,80615,"[0,1,1,-2620,50624]",3,1
80674a1,80674,"[1,1,0,-10697,420565]",3,1
80721b1,80721,"[1,-1,1,-113,618]",3,1
80913a1,80913,"[0,-1,1,-140,512]",3,1
80965a1,80965,"[0,0,1,-13,-12]",3,1
81063c1,81063,"[0,0,1,-111,396]",3,1
81162c1,81162,"[1,-1,0,-96,368]",3,1
81234h1,81234,"[1,-1,0,-198,1080]",3,1
81328c1,81328,"[0,1,0,96,196]",3,2
